id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,70382.0,1408407258912,1,1408407258912,48384937174,71230.0,69034.0,531.85,0.76142,11410369002.0,0.81678,20000962.0,20000962.0,21000000.0,126080.0,-44.17705,2025-10-06T18:57:42.558Z,67.81,103693.76215,2013-07-06T00:00:00.000Z,,2026-03-11T23:20:52.988Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2060.09,248712659030,2,248712659030,18191909070,2082.55,2010.47,25.25,1.24107,3147712677.0,1.28182,120692001.7320773,120692001.7320773,,4946.05,-58.34884,2025-08-24T19:21:03.333Z,0.432979,475693.79145,2015-10-20T00:00:00.000Z,"{'times': 38.1164991563373, 'currency': 'btc', 'percentage': 3811.64991563373}",2026-03-11T23:20:53.021Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,183902587818,3,189369895775,72945383345,1.0,0.999893,8.709e-05,0.00871,-27042099.22354126,-0.0147,183890132782.1824,189357070459.4662,,1.32,-24.41296,2018-07-24T00:00:00.000Z,0.572521,74.68154,2015-03-02T00:00:00.000Z,,2026-03-11T23:19:40.664Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,652.06,88960150101,4,88960150101,964113034,655.24,636.75,9.42,1.4652,1345318724.0,1.53549,136358235.31,136358235.31,200000000.0,1369.99,-52.40382,2025-10-13T08:41:24.131Z,0.0398177,1637522.91308,2017-10-19T00:00:00.000Z,,2026-03-11T23:20:52.894Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.39,85106020132,5,138979036272,2329232992,1.41,1.37,0.0037825,0.27295,293626240.0,0.34621,61227832454.0,99985701766.0,100000000000.0,3.65,-61.89209,2025-07-18T03:40:53.808Z,0.00268621,51629.39495,2014-05-22T00:00:00.000Z,,2026-03-11T23:19:58.516Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/USDC.png?1769615602,0.999999,78806575492,6,78813897950,5146367689,1.0,0.999813,6.565e-05,0.00657,139985722.0,0.17795,78813789931.59369,78821113059.57948,,1.043,-4.16554,2018-11-15T00:00:00.000Z,0.877647,13.94092,2023-03-11T08:02:13.981Z,,2026-03-11T23:19:40.509Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,87.06,49767713816,7,49767715654,3997420178,87.83,84.52,1.35,1.57529,904996715.0,1.85212,571113889.1450915,571113910.2348504,,293.31,-70.31889,2025-01-19T11:15:27.957Z,0.500801,17283.79269,2020-05-11T19:35:23.449Z,,2026-03-11T23:19:50.619Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.290845,27554243210,8,27554318297,479007244,0.291524,0.285448,0.00523326,1.8323,488212456.0,1.80378,94746059267.7016,94746317457.65129,,0.431288,-32.56365,2024-12-04T00:10:40.323Z,0.00180434,16019.1822,2017-11-12T00:00:00.000Z,"{'times': 152.0763765991773, 'currency': 'usd', 'percentage': 15207.637659917731}",2026-03-11T23:20:50.114Z
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.027,16181551574,9,16181551574,19585021,1.036,1.027,-0.009098999999999968,-0.87827,-110470618.74230385,-0.67807,15757493780.407,15757493780.407,,1.049,-2.11674,2026-03-09T17:00:25.937Z,0.155357,561.00282,2025-10-31T14:27:24.456Z,,2026-03-11T23:20:58.318Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.093463,14344724360,10,14344766449,1359805944,0.09468,0.09168,-0.001027182810306282,-1.08708,-133794507.28155136,-0.92409,153370046383.7052,153370496383.7052,,0.731578,-87.22443,2021-05-08T05:08:23.458Z,8.69e-05,107447.99602,2015-05-06T00:00:00.000Z,,2026-03-11T23:20:49.918Z
